Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Mike Gale,SG,27,SAS,70,,29.9,3.9,8.3,.473,,,,3.9,8.3,.473,.473,1.2,1.4,.870,0.8,2.4,3.2,5.4,2.3,0.4,2.5,2.4,9.1
Gus Gerard,SF,24,TOT,57,,15.6,3.0,6.9,.430,,,,3.0,6.9,.430,.430,1.3,1.9,.694,1.0,1.8,2.8,0.9,0.6,0.4,1.1,1.9,7.3
Gus Gerard,SF,24,BUF,10,,8.5,1.6,4.0,.400,,,,1.6,4.0,.400,.400,1.1,1.5,.733,0.6,0.8,1.4,0.9,0.2,0.3,0.7,1.3,4.3
Gus Gerard,SF,24,DET,47,,17.1,3.3,7.6,.434,,,,3.3,7.6,.434,.434,1.4,2.0,.688,1.0,2.1,3.1,0.9,0.7,0.5,1.1,2.0,7.9
George Gervin,SG,25,SAS,82,,34.8,10.5,19.6,.536,,,,10.5,19.6,.536,.536,6.1,7.4,.830,1.4,3.7,5.1,3.7,1.7,1.3,3.7,3.1,27.2
John Gianelli,C,27,MIL,82,,28.4,3.7,7.7,.488,,,,3.7,7.7,.488,.488,1.0,1.5,.642,2.0,4.2,6.2,2.3,0.7,1.1,1.8,2.3,8.5
Artis Gilmore,C,28,CHI,82,,37.4,8.6,15.4,.559,,,,8.6,15.4,.559,.559,5.7,8.2,.704,3.9,9.2,13.1,3.2,0.5,2.2,4.5,3.2,22.9
Mike Glenn,SG,22,BUF,56,,16.9,3.5,6.6,.527,,,,3.5,6.6,.527,.527,0.9,1.2,.785,0.3,1.2,1.4,1.4,0.6,0.1,0.9,1.8,7.9
Glen Gondrezick,SF,22,NYK,72,,14.1,1.8,4.7,.386,,,,1.8,4.7,.386,.386,1.2,1.7,.686,1.3,2.2,3.5,1.2,0.8,0.3,1.1,2.5,4.8
Gail Goodrich,SG,34,NOJ,81,,31.5,6.4,13.0,.495,,,,6.4,13.0,.495,.495,3.3,4.1,.795,0.9,1.3,2.2,4.8,1.0,0.3,2.5,2.3,16.1
Mike Green,C,26,TOT,72,,19.2,3.3,7.1,.463,,,,3.3,7.1,.463,.463,1.5,2.0,.754,1.8,3.2,5.0,1.1,0.4,1.4,1.5,2.7,8.1
Mike Green,C,26,SEA,9,,27.8,4.8,9.7,.494,,,,4.8,9.7,.494,.494,2.3,3.4,.677,2.4,3.7,6.1,1.1,0.7,1.4,2.4,2.9,11.9
Mike Green,C,26,SAS,63,,18.0,3.1,6.8,.457,,,,3.1,6.8,.457,.457,1.4,1.8,.775,1.7,3.1,4.8,1.0,0.4,1.4,1.3,2.7,7.6
Rickey Green,PG,23,GSW,76,,14.4,1.9,4.9,.381,,,,1.9,4.9,.381,.381,0.7,1.2,.600,0.6,0.9,1.5,2.0,0.8,0.0,1.0,1.3,4.5
Steve Green,SF,24,IND,44,,10.2,1.3,2.9,.438,,,,1.3,2.9,.438,.438,0.9,1.3,.696,0.7,0.9,1.6,0.7,0.3,0.0,0.5,1.5,3.4
Kevin Grevey,SF,24,WSB,81,,26.2,6.2,13.9,.448,,,,6.2,13.9,.448,.448,3.0,3.8,.789,1.5,2.0,3.6,1.9,0.8,0.2,2.0,2.5,15.5
Greg Griffin,SF,25,PHO,36,,11.7,1.7,4.7,.361,,,,1.7,4.7,.361,.361,0.6,1.0,.639,1.2,1.6,2.9,0.7,0.4,0.0,1.1,1.6,4.0
Paul Griffin,PF,24,NOJ,82,,22.6,2.0,4.4,.447,,,,2.0,4.4,.447,.447,1.4,1.9,.713,1.9,4.3,6.2,2.1,1.1,0.5,1.8,2.8,5.3
Bob Gross,SF,24,POR,72,,30.0,5.3,10.0,.529,,,,5.3,10.0,.529,.529,2.1,2.6,.800,2.5,3.1,5.6,3.5,1.4,0.7,2.5,3.3,12.7
Ernie Grunfeld,SG,22,MIL,73,,17.3,2.8,6.3,.443,,,,2.8,6.3,.443,.443,1.3,2.0,.657,1.0,1.7,2.7,2.0,0.7,0.3,1.3,2.1,6.9
Glenn Hansen,SG,25,TOT,5,,2.6,0.0,1.4,.000,,,,0.0,1.4,.000,.000,0.0,0.0,,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.6,0.0
Glenn Hansen,SG,25,CHI,2,,2.0,0.0,1.0,.000,,,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Glenn Hansen,SG,25,KCK,3,,3.0,0.0,1.7,.000,,,,0.0,1.7,.000,.000,0.0,0.0,,0.3,0.0,0.3,0.3,0.3,0.0,0.0,1.0,0.0
Joe Hassett,SG,22,SEA,48,,8.4,1.9,4.3,.444,,,,1.9,4.3,.444,.444,0.2,0.3,.833,0.3,0.5,0.8,0.9,0.4,0.0,0.7,0.9,4.0
John Havlicek,SF,37,BOS,82,,34.1,6.7,14.8,.449,,,,6.7,14.8,.449,.449,2.8,3.3,.855,1.1,2.9,4.0,4.0,1.1,0.3,2.5,2.3,16.1
Steve Hawes,PF,27,ATL,75,,31.0,5.2,11.4,.453,,,,5.2,11.4,.453,.453,2.3,2.9,.818,2.4,6.8,9.2,2.5,1.0,0.8,2.0,3.1,12.7
Robert Hawkins,SG,23,NJN,15,,22.9,4.6,10.0,.460,,,,4.6,10.0,.460,.460,1.7,1.9,.862,1.4,1.9,3.3,2.5,1.5,0.9,2.9,3.4,10.9
Elvin Hayes,PF,32,WSB,81,,40.1,7.9,17.4,.451,,,,7.9,17.4,.451,.451,4.0,6.3,.634,4.1,9.1,13.3,1.8,1.2,2.0,2.8,3.9,19.7
Spencer Haywood,PF,28,NYK,67,,26.3,6.1,12.7,.484,,,,6.1,12.7,.484,.484,1.4,2.0,.711,2.1,4.5,6.6,1.9,0.6,1.1,2.1,2.8,13.7
Gar Heard,PF,29,PHO,80,,26.2,3.3,7.8,.424,,,,3.3,7.8,.424,.424,1.1,1.8,.612,2.1,6.1,8.2,1.7,1.6,1.3,1.5,2.7,7.8
Tom Henderson,PG,26,WSB,75,,30.9,4.5,10.5,.432,,,,4.5,10.5,.432,.432,2.4,3.2,.746,0.9,1.7,2.6,5.4,1.2,0.2,2.6,1.7,11.4
Armond Hill,PG,24,ATL,82,,30.9,3.7,8.9,.415,,,,3.7,8.9,.415,.415,2.3,2.7,.848,0.7,2.1,2.8,5.2,1.8,0.2,2.9,3.7,9.7
Darnell Hillman,PF,28,TOT,78,,25.2,4.4,9.1,.479,,,,4.4,9.1,.479,.479,2.1,3.7,.584,2.6,4.8,7.4,1.3,0.8,1.0,2.2,3.7,10.9
Darnell Hillman,PF,28,NJN,45,,27.1,5.2,11.1,.471,,,,5.2,11.1,.471,.471,2.6,4.6,.576,2.8,4.7,7.5,1.1,1.1,1.0,2.4,3.6,13.1
Darnell Hillman,PF,28,DEN,33,,22.6,3.2,6.3,.498,,,,3.2,6.3,.498,.498,1.5,2.5,.605,2.2,5.0,7.2,1.6,0.4,1.1,2.0,3.9,7.8
Wilbur Holland,SG,26,CHI,82,,35.2,6.9,15.7,.443,,,,6.9,15.7,.443,.443,2.7,3.4,.799,1.3,2.3,3.6,3.8,2.0,0.2,2.7,3.1,16.6
Lionel Hollins,PG,24,POR,81,,33.8,6.6,14.8,.442,,,,6.6,14.8,.442,.442,2.8,3.7,.743,1.0,2.4,3.4,4.7,1.9,0.4,3.0,3.3,15.9
Lou Hudson,SG,33,LAL,82,,27.8,6.0,12.1,.497,,,,6.0,12.1,.497,.497,1.7,2.2,.774,1.0,1.3,2.3,2.4,1.1,0.2,1.8,2.4,13.7
Kim Hughes,C,25,NJN,56,,15.3,1.0,2.9,.356,,,,1.0,2.9,.356,.356,0.2,0.5,.310,1.7,2.6,4.3,0.7,0.9,0.9,1.0,2.9,2.2
Dan Issel,C,29,DEN,82,,34.8,8.0,15.7,.512,,,,8.0,15.7,.512,.512,5.2,6.7,.782,3.1,7.0,10.1,3.7,1.2,0.5,3.2,3.4,21.3
Phil Jackson,PF,32,NYK,63,,10.4,0.9,1.8,.478,,,,0.9,1.8,.478,.478,0.7,0.9,.768,0.5,1.3,1.7,0.7,0.5,0.2,0.7,1.7,2.4
Aaron James,SF,25,NOJ,80,,26.5,5.4,10.8,.497,,,,5.4,10.8,.497,.497,1.5,2.0,.745,2.0,3.2,5.3,1.4,0.5,0.3,1.6,3.2,12.2
Charles Johnson,SG,28,TOT,71,,18.3,3.3,8.2,.408,,,,3.3,8.2,.408,.408,0.7,0.9,.803,0.6,1.6,2.2,1.8,0.9,0.1,1.0,1.8,7.4
Charles Johnson,SG,28,GSW,32,,15.4,3.0,7.3,.409,,,,3.0,7.3,.409,.409,0.2,0.3,.700,0.7,1.2,1.9,1.5,1.0,0.1,0.7,1.7,6.2
Charles Johnson,SG,28,WSB,39,,20.7,3.6,8.9,.408,,,,3.6,8.9,.408,.408,1.1,1.3,.824,0.5,1.9,2.4,2.1,0.8,0.0,1.3,1.9,8.3
Dennis Johnson,SG,23,SEA,81,,27.3,4.5,10.9,.417,,,,4.5,10.9,.417,.417,3.7,5.0,.732,1.9,1.8,3.6,2.8,1.5,0.6,2.0,2.6,12.7
Eddie Johnson,SG,22,ATL,79,,23.7,4.2,8.7,.484,,,,4.2,8.7,.484,.484,2.1,2.5,.816,0.6,1.3,1.9,3.0,1.3,0.1,2.1,2.9,10.5
George Johnson,C,29,NJN,81,,29.8,3.5,8.9,.395,,,,3.5,8.9,.395,.395,1.6,2.3,.719,3.0,6.6,9.6,1.4,1.0,3.4,2.7,4.2,8.7
John Johnson,SF,30,TOT,77,,23.7,4.4,10.7,.415,,,,4.4,10.7,.415,.415,1.7,2.3,.751,1.3,2.7,4.0,2.7,0.6,0.2,2.2,2.6,10.6
John Johnson,SF,30,HOU,1,,11.0,1.0,4.0,.250,,,,1.0,4.0,.250,.250,2.0,3.0,.667,2.0,1.0,3.0,1.0,0.0,0.0,3.0,3.0,4.0
John Johnson,SF,30,SEA,76,,23.8,4.5,10.8,.416,,,,4.5,10.8,.416,.416,1.7,2.3,.753,1.3,2.7,4.0,2.8,0.6,0.3,2.2,2.6,10.7
Larry Johnson,SG,23,BUF,4,,9.5,0.8,3.3,.231,,,,0.8,3.3,.231,.231,0.0,0.5,.000,0.3,1.0,1.3,1.8,1.3,0.5,0.8,0.8,1.5
Marques Johnson,SF,21,MIL,80,,34.6,7.9,15.1,.522,,,,7.9,15.1,.522,.522,3.8,5.1,.736,3.7,6.9,10.6,2.4,1.2,1.3,2.2,2.8,19.5
Mickey Johnson,PF,25,CHI,81,,35.4,6.9,15.0,.462,,,,6.9,15.0,.462,.462,4.5,5.5,.812,2.7,6.4,9.1,3.3,1.1,0.8,3.3,3.9,18.3
Ollie Johnson,SF,28,ATL,82,,20.8,3.6,7.5,.472,,,,3.6,7.5,.472,.472,1.4,1.6,.854,1.1,2.1,3.2,1.5,1.0,0.4,1.3,2.2,8.5
Bobby Jones,PF,26,DEN,75,,32.5,5.9,10.1,.578,,,,5.9,10.1,.578,.578,2.8,3.7,.751,2.2,6.3,8.5,3.4,1.8,1.7,2.6,2.9,14.5
Caldwell Jones,C,27,PHI,80,,20.5,2.1,4.5,.471,,,,2.1,4.5,.471,.471,1.2,1.9,.627,2.1,5.1,7.1,1.2,0.3,1.6,1.6,3.5,5.4
Dwight Jones,PF,25,HOU,82,,30.2,4.2,9.5,.445,,,,4.2,9.5,.445,.445,2.2,2.8,.777,2.6,5.2,7.8,1.3,0.9,0.5,2.0,3.2,10.6
Robin Jones,C,23,HOU,12,,5.5,0.9,1.7,.550,,,,0.9,1.7,.550,.550,0.3,0.8,.400,0.4,0.8,1.2,0.2,0.1,0.1,0.6,1.3,2.2
Wil Jones,PF,30,BUF,79,,21.7,2.9,6.5,.440,,,,2.9,6.5,.440,.440,1.1,1.5,.706,1.3,2.9,4.2,1.5,0.9,0.5,1.7,3.2,6.8
Eddie Jordan,PG,23,TOT,73,,16.6,2.9,7.4,.400,,,,2.9,7.4,.400,.400,1.8,2.3,.784,0.5,1.2,1.6,2.4,1.7,0.3,1.5,1.3,7.7
Eddie Jordan,PG,23,CLE,22,,7.8,0.9,2.5,.339,,,,0.9,2.5,.339,.339,0.5,0.7,.750,0.1,0.4,0.5,1.5,0.5,0.0,0.6,0.5,2.3
Eddie Jordan,PG,23,NJN,51,,20.4,3.8,9.5,.407,,,,3.8,9.5,.407,.407,2.3,3.0,.788,0.6,1.5,2.1,2.8,2.2,0.4,1.8,1.6,10.0
George Karl,PG,25,SAS,4,,7.5,0.5,1.5,.333,,,,0.5,1.5,.333,.333,0.5,0.5,1.000,0.0,1.3,1.3,1.3,0.3,0.0,1.0,1.5,1.5
Rich Kelley,C,24,NOJ,82,,25.8,3.7,7.3,.505,,,,3.7,7.3,.505,.505,2.7,3.5,.779,3.0,6.2,9.3,2.8,1.1,1.6,2.7,3.6,10.2
Larry Kenon,SF,25,SAS,81,,35.4,8.6,17.6,.489,,,,8.6,17.6,.489,.489,3.4,4.0,.854,3.0,6.5,9.5,3.3,1.4,0.3,3.4,2.6,20.6
Bernard King,SF,21,NJN,79,,39.1,10.1,21.1,.479,,,,10.1,21.1,.479,.479,4.0,5.8,.677,3.4,6.2,9.5,2.4,1.5,0.5,3.9,3.8,24.2
Billy Knight,SF,25,BUF,53,,40.7,8.6,17.5,.494,,,,8.6,17.5,.494,.494,5.7,7.0,.809,2.4,4.8,7.2,3.0,1.5,0.2,3.2,2.6,22.9
Toby Knight,SF,22,NYK,80,,14.6,2.8,5.8,.477,,,,2.8,5.8,.477,.477,0.8,1.2,.649,1.5,2.5,4.0,0.5,0.6,0.4,1.2,2.6,6.3
Steve Kuberski,PF,30,BOS,3,,4.7,0.3,1.3,.250,,,,0.3,1.3,.250,.250,0.0,0.0,,0.3,1.7,2.0,0.0,0.3,0.0,0.7,0.7,0.7
John Kuester,PG,22,KCK,78,,15.6,1.9,4.1,.455,,,,1.9,4.1,.455,.455,1.1,1.3,.829,0.2,1.2,1.5,3.2,0.7,0.0,1.2,1.8,4.8
Kevin Kunnert,C,26,HOU,80,,26.9,4.6,10.5,.437,,,,4.6,10.5,.437,.437,1.2,1.7,.689,3.3,5.4,8.7,1.2,0.6,1.1,1.8,3.9,10.4
Mitch Kupchak,PF,23,WSB,67,,26.3,5.9,11.5,.512,,,,5.9,11.5,.512,.512,4.2,6.0,.697,2.4,4.4,6.9,1.1,0.4,0.6,2.7,2.9,15.9
C.J. Kupec,SF,25,HOU,49,,12.8,1.7,4.0,.426,,,,1.7,4.0,.426,.426,0.6,0.7,.818,0.6,1.3,1.9,1.0,0.2,0.1,0.5,1.1,4.0
Sam Lacey,C,29,KCK,77,,27.7,3.4,7.7,.449,,,,3.4,7.7,.449,.449,1.7,2.4,.717,2.0,6.3,8.3,3.9,1.6,1.4,2.4,3.4,8.6
Tom LaGarde,C,22,DEN,77,,11.3,1.2,3.1,.405,,,,1.2,3.1,.405,.405,1.5,1.9,.760,1.0,1.8,2.8,0.6,0.2,0.2,1.3,1.9,4.0
John Lambert,PF,25,CLE,76,,14.1,1.9,4.4,.423,,,,1.9,4.4,.423,.423,0.4,0.6,.563,1.6,2.6,4.3,0.5,0.4,0.7,0.8,2.2,4.1
Mark Landsberger,PF,22,CHI,62,,14.9,2.0,4.0,.506,,,,2.0,4.0,.506,.506,1.5,2.5,.580,1.8,3.1,4.9,0.7,0.3,0.1,1.1,1.3,5.6
Bob Lanier,C,29,DET,63,,36.7,9.9,18.4,.537,,,,9.9,18.4,.537,.537,4.7,6.1,.772,3.1,8.2,11.3,3.4,1.3,1.5,3.6,2.9,24.5
Rich Laurel,SG,23,MIL,10,,5.7,1.0,3.1,.323,,,,1.0,3.1,.323,.323,0.4,0.4,1.000,0.6,0.4,1.0,0.3,0.3,0.1,0.4,1.0,2.4
Mo Layton,PG,29,SAS,41,,12.1,2.1,4.1,.506,,,,2.1,4.1,.506,.506,0.3,0.3,.923,0.1,0.7,0.8,2.6,0.5,0.1,1.4,1.2,4.4
Ron Lee,PG,25,PHO,82,,23.5,5.1,11.6,.439,,,,5.1,11.6,.439,.439,2.1,2.8,.746,1.2,1.9,3.1,3.7,2.7,0.2,2.7,3.1,12.2
Scott Lloyd,C,25,TOT,70,,9.7,1.1,2.8,.415,,,,1.1,2.8,.415,.415,0.7,1.0,.721,0.7,1.3,2.1,0.6,0.2,0.2,0.6,1.5,3.0
Scott Lloyd,C,25,MIL,14,,8.0,0.9,2.4,.364,,,,0.9,2.4,.364,.364,0.4,0.7,.600,0.5,1.4,1.9,0.6,0.2,0.4,0.5,1.6,2.1
Scott Lloyd,C,25,BUF,56,,10.1,1.2,2.9,.425,,,,1.2,2.9,.425,.425,0.8,1.0,.741,0.8,1.3,2.1,0.6,0.2,0.2,0.6,1.5,3.2
John Lucas,PG,24,HOU,82,,35.8,5.0,11.5,.435,,,,5.0,11.5,.435,.435,2.4,3.0,.772,0.6,2.5,3.1,9.4,2.0,0.1,2.6,2.5,12.4
Maurice Lucas,PF,25,POR,68,,31.2,6.7,14.5,.458,,,,6.7,14.5,.458,.458,3.0,4.0,.767,2.7,6.4,9.1,2.5,0.9,0.8,2.8,3.3,16.4
Moses Malone,C,22,HOU,59,,35.7,7.0,14.0,.499,,,,7.0,14.0,.499,.499,5.4,7.5,.718,6.4,8.6,15.0,0.5,0.8,1.3,3.7,3.0,19.4
Pete Maravich,SG,30,NOJ,50,,40.8,11.1,25.1,.444,,,,11.1,25.1,.444,.444,4.8,5.5,.870,1.0,2.6,3.6,6.7,2.0,0.2,5.0,2.3,27.0
Ricky Marsh,SG,23,GSW,60,,14.2,2.1,4.8,.426,,,,2.1,4.8,.426,.426,0.4,0.6,.697,0.3,1.0,1.3,1.5,0.5,0.3,0.8,1.9,4.5
Cedric Maxwell,SF,22,BOS,72,,16.8,2.4,4.4,.538,,,,2.4,4.4,.538,.538,2.6,3.5,.752,1.9,3.3,5.3,0.9,0.7,0.7,1.7,2.1,7.3
Scott May,SF,23,CHI,55,,32.8,5.1,11.2,.454,,,,5.1,11.2,.454,.454,3.2,3.9,.810,2.1,3.9,6.0,2.1,0.9,0.1,2.3,3.1,13.4
Bob McAdoo,C,26,NYK,79,,40.3,10.3,19.8,.520,,,,10.3,19.8,.520,.520,5.9,8.2,.727,3.0,9.8,12.8,3.8,1.3,1.6,4.4,3.8,26.5
Andre McCarter,PG,24,KCK,1,,9.0,0.0,2.0,.000,,,,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Ted McClain,PG,31,TOT,70,,14.6,1.8,4.0,.439,,,,1.8,4.0,.439,.439,0.8,1.0,.781,0.3,1.3,1.6,2.2,0.8,0.1,1.3,1.8,4.3
Ted McClain,PG,31,BUF,41,,17.7,2.0,4.5,.440,,,,2.0,4.5,.440,.440,1.2,1.5,.794,0.3,1.6,1.8,3.0,1.0,0.0,1.7,2.1,5.2
Ted McClain,PG,31,PHI,29,,10.1,1.4,3.3,.438,,,,1.4,3.3,.438,.438,0.2,0.3,.700,0.3,1.0,1.3,1.2,0.6,0.1,0.8,1.2,3.1
Jim McDaniels,C,29,BUF,42,,16.5,2.4,5.6,.427,,,,2.4,5.6,.427,.427,0.9,1.0,.857,1.1,3.2,4.3,1.0,0.1,0.9,1.2,2.7,5.6
Jim McElroy,PG,24,NOJ,74,,23.8,3.9,8.2,.473,,,,3.9,8.2,.473,.473,1.7,2.3,.737,0.6,1.4,2.0,3.9,0.8,0.5,1.9,1.5,9.4
George McGinnis,PF,27,PHI,78,,32.5,7.5,16.3,.463,,,,7.5,16.3,.463,.463,5.3,7.4,.716,3.6,6.8,10.4,3.8,1.8,0.3,4.0,3.7,20.3
Tom McMillen,C,25,ATL,68,,24.8,4.1,8.4,.493,,,,4.1,8.4,.493,.493,1.7,2.1,.800,2.2,3.9,6.1,1.2,0.5,0.2,1.6,3.4,9.9
Jim McMillian,SF,29,NYK,81,,24.4,3.6,7.7,.462,,,,3.6,7.7,.462,.462,1.4,1.7,.858,1.0,2.6,3.6,2.5,0.9,0.2,1.3,1.4,8.5
Larry McNeill,PF,27,TOT,46,,20.4,3.5,7.7,.455,,,,3.5,7.7,.455,.455,3.2,3.8,.829,1.7,2.7,4.4,1.0,0.4,0.2,1.5,2.5,10.2
Larry McNeill,PF,27,GSW,9,,7.4,0.7,2.0,.333,,,,0.7,2.0,.333,.333,1.7,2.1,.789,0.2,1.3,1.6,0.2,0.0,0.1,0.8,1.6,3.0
Larry McNeill,PF,27,BUF,37,,23.6,4.2,9.1,.462,,,,4.2,9.1,.462,.462,3.5,4.2,.833,2.1,3.0,5.1,1.2,0.5,0.3,1.6,2.7,11.9
John Mengelt,SG,28,CHI,81,,21.8,4.0,8.3,.481,,,,4.0,8.3,.481,.481,2.3,2.9,.773,0.5,1.1,1.6,2.9,0.6,0.0,1.5,2.1,10.3
Joe Meriweather,C,24,NOJ,54,,23.6,3.6,7.6,.472,,,,3.6,7.6,.472,.472,1.6,2.5,.654,2.5,4.4,6.9,1.1,0.3,2.2,1.7,3.5,8.8
Dave Meyers,PF,24,MIL,80,,30.2,5.4,11.7,.461,,,,5.4,11.7,.461,.461,3.9,5.4,.722,1.8,4.9,6.7,3.0,1.1,0.6,2.7,3.0,14.7
Steve Mix,SF,30,PHI,82,,22.2,3.5,6.8,.520,,,,3.5,6.8,.520,.520,2.1,2.7,.795,1.2,2.5,3.6,2.1,1.1,0.0,1.6,1.9,9.2
Larry Moffett,SF,23,HOU,20,,5.5,0.3,0.9,.294,,,,0.3,0.9,.294,.294,0.3,0.5,.600,0.5,0.6,1.1,0.4,0.1,0.1,0.4,0.8,0.8
Eric Money,PG,22,DET,76,,33.6,7.9,15.8,.500,,,,7.9,15.8,.500,.500,2.8,3.9,.718,1.2,1.6,2.8,4.7,1.6,0.2,4.2,3.1,18.6
Earl Monroe,SG,33,NYK,76,,31.2,7.3,14.8,.495,,,,7.3,14.8,.495,.495,3.2,3.8,.832,0.6,1.8,2.4,4.8,0.8,0.3,2.4,2.5,17.8
Glenn Mosley,PF,22,PHI,6,,3.5,0.8,2.2,.385,,,,0.8,2.2,.385,.385,0.5,1.2,.429,0.0,0.8,0.8,0.3,0.0,0.0,0.8,0.8,2.2
Calvin Murphy,SG,29,HOU,76,,38.2,11.2,22.9,.491,,,,11.2,22.9,.491,.491,3.2,3.5,.918,0.8,1.4,2.2,3.4,1.5,0.0,2.3,3.2,25.6
Bob Nash,SF,27,KCK,66,,12.1,2.4,4.6,.516,,,,2.4,4.6,.516,.516,0.8,1.0,.725,1.1,1.4,2.6,0.7,0.4,0.3,0.7,1.1,5.5
Swen Nater,C,28,BUF,78,,35.6,6.4,12.7,.504,,,,6.4,12.7,.504,.504,2.7,3.5,.765,3.6,9.6,13.2,2.8,0.5,0.6,2.9,3.5,15.5
Lloyd Neal,PF,27,POR,61,,19.2,4.5,8.9,.504,,,,4.5,8.9,.504,.504,2.1,2.9,.718,1.9,4.2,6.1,1.3,0.5,0.3,1.6,2.1,11.0
Louie Nelson,SG,26,TOT,33,,12.3,2.6,6.4,.403,,,,2.6,6.4,.403,.403,1.7,2.5,.679,0.4,1.2,1.6,1.0,0.7,0.2,1.5,1.0,6.9
Louie Nelson,SG,26,KCK,8,,6.6,0.4,1.8,.214,,,,0.4,1.8,.214,.214,1.1,1.4,.818,0.1,0.3,0.4,0.6,0.3,0.1,1.0,0.6,1.9
Louie Nelson,SG,26,NJN,25,,14.1,3.3,7.9,.416,,,,3.3,7.9,.416,.416,1.9,2.9,.658,0.5,1.5,2.0,1.2,0.8,0.2,1.6,1.1,8.5
Johnny Neumann,SG,26,IND,20,,10.8,1.8,4.3,.407,,,,1.8,4.3,.407,.407,0.7,0.9,.722,0.3,0.5,0.7,1.4,0.3,0.1,1.1,1.2,4.2
Mike Newlin,SG,29,HOU,45,,26.2,4.8,11.0,.436,,,,4.8,11.0,.436,.436,3.4,3.9,.874,0.8,1.9,2.7,4.5,1.2,0.2,2.7,2.8,13.0
Norm Nixon,PG,22,LAL,81,,34.3,6.1,12.3,.497,,,,6.1,12.3,.497,.497,1.4,2.0,.714,0.5,2.4,3.0,6.8,1.7,0.1,3.1,3.2,13.7
Willie Norwood,SF,30,TOT,35,,17.5,2.1,5.2,.409,,,,2.1,5.2,.409,.409,1.4,2.1,.667,1.4,2.0,3.4,0.9,0.9,0.1,1.6,2.9,5.7
Willie Norwood,SF,30,DET,16,,16.3,2.1,5.1,.415,,,,2.1,5.1,.415,.415,1.3,1.8,.690,1.7,1.7,3.4,0.9,0.8,0.2,1.1,2.8,5.5
